Hour,Load (kW)
1,397.31269585675005
2,427.27896929100007
3,439.81166415699994
4,450.6476100777501
5,478.5407099212501
6,539.99768780175
7,631.4744731142499
8,789.5430814599997
9,809.7969839675003
10,805.513099135
11,816.1496008524998
12,791.8338043714998
13,767.1535345707499
14,702.8791387824997
15,663.1580315674998
16,631.4525937292501
17,591.25519555075
18,633.33399221025
19,637.0849171675001
20,615.6952317399999
21,610.3538965712501
22,596.13389182925
23,531.6272465174999
24,509.4518219365002
25,524.0684966270002
26,528.44395254925
27,533.79786090775
28,544.6890326967501
29,577.2624005874999
30,653.9999206857499
31,752.1073655267501
32,898.5482162822499
33,901.9986912674999
34,885.4356792085003
35,888.2646886017498
36,862.6844331205002
37,848.8086511612505
38,786.8739624485002
39,750.0760053354995
40,723.2540432349999
41,680.0553493205
42,718.3553200632504
43,716.9108670612503
44,684.6808650867499
45,677.79862070975
46,667.2785382494998
47,604.9532731037501
48,584.8250051330001
49,595.49650995475
50,601.078469372
51,607.6666248957501
52,612.7211872185002
53,638.9585585657501
54,704.3343040047497
55,799.5254523380002
56,942.6216068062497
57,960.4902355735
58,956.3170132597502
59,965.15235962725
60,944.3709386317505
61,929.2905487407498
62,871.7514499360001
63,836.4840163210004
64,807.7122869707503
65,764.5514293137502
66,805.7684755172502
67,806.2242055905002
68,774.0406677989997
69,768.3261287299999
70,761.3643412552503
71,703.5817143140002
72,687.4193693974996
73,693.3518454847499
74,699.5943912057504
75,711.4822292655002
76,724.0274312855
77,754.9493014817497
78,810.5590798689997
79,903.4241188177506
80,1055.4961556495007
81,1064.03128185125
82,1060.0523176104998
83,1067.2175908255003
84,1046.6183239332493
85,1028.80910964325
86,969.57800672075
87,934.2561488717497
88,906.6559011092502
89,867.7886630935002
90,912.2199336000003
91,924.942705445
92,896.8386735264999
93,887.1910517979995
94,876.4657267342498
95,813.6058915825001
96,793.9317264110001
97,810.3922125154999
98,822.6886332955004
99,834.7255164137498
100,843.2278298787497
101,875.0265879357502
102,937.5838099822498
103,1027.5812745012497
104,1176.6640993610004
105,1182.2730108635
106,1171.3932671877499
107,1176.2882265832502
108,1151.7175456307498
109,1133.407019974
110,1068.766993496
111,1027.9408644664998
112,999.4536117089999
113,958.2156494570002
114,980.6732133185003
115,1007.2033860180001
116,986.1083983770005
117,979.5074418837498
118,964.2893441000001
119,902.7226539745
120,884.8382682794997
121,949.3703293835003
122,886.5573927635002
123,857.0877017725004
124,856.2872532614996
125,875.3826312890002
126,880.7449258015002
127,916.76847592975
128,1020.6814578307502
129,979.8553982367496
130,913.03434500425
131,900.4936728474994
132,893.9197122942497
133,896.2326502172492
134,895.6516577495003
135,886.7522559354999
136,883.2289596827503
137,892.6698449527503
138,950.1682236067503
139,995.2244988322507
140,1004.83410043025
141,1021.1221951767495
142,1019.1105738707499
143,961.0989866975003
144,969.6278790709999
145,929.22595603925
146,921.0193929645003
147,928.8732454389999
148,935.5933942994994
149,955.1992426957501
150,973.4839734267503
151,984.1652307804998
152,1046.8856827855004
153,998.013687210001
154,965.3249095752495
155,957.0369996745003
156,954.5724344637506
157,947.5549281675003
158,940.61329498525
159,935.8690897045002
160,937.2613159745006
161,941.343911202
162,995.2980124389999
163,1042.9252528129998
164,1045.0941879362504
165,1053.5086891700003
166,1054.1628957359994
167,1016.7583578574994
168,990.7192205850004
169,970.4040810309998
170,1056.48627597275
171,1070.1438542327498
172,1077.2317132105
173,1102.6613308722494
174,1159.0611096112498
175,1247.1822160694999
176,1382.5995001095002
177,1408.6891830857496
178,1409.7639276107507
179,1424.379102899249
180,1396.9931151027502
181,1377.4084763065
182,1323.8532533530006
183,1292.6652142645
184,1259.6777075169996
185,1219.172320285
186,1232.4942932302492
187,1255.7084755854999
188,1222.1912461705008
189,1211.3593739930004
190,1200.5874019882497
191,1155.3232293207495
192,1130.7920089622505
193,1132.6837672452502
194,1136.9795772832504
195,1145.7518368295
196,1155.6861052677493
197,1183.8870721117503
198,1245.79275489025
199,1337.1118909385
200,1466.7950641080001
201,1482.6021746014997
202,1472.9223480995
203,1490.0700981885002
204,1474.0939055427502
205,1467.510332587249
206,1422.9058742944999
207,1392.4788140249996
208,1359.3477677670005
209,1307.8565183609994
210,1312.2074761237502
211,1330.3686217402503
212,1289.4497700082504
213,1279.996183572
214,1268.1531970352491
215,1222.5006282132492
216,1207.1601036289992
217,1212.0773034914994
218,1217.0167221272502
219,1226.386152533501
220,1233.6563152507508
221,1253.1619320575
222,1298.3044958489997
223,1387.8308028200001
224,1515.0080072572505
225,1538.17607576475
226,1553.4184636837504
227,1580.0832929642493
228,1567.9231940070001
229,1561.229091641
230,1515.6735460660004
231,1486.7791230197497
232,1456.0026565302499
233,1402.5539534707493
234,1409.7437390125006
235,1425.2427335834998
236,1380.602792247501
237,1365.5893420107507
238,1358.9201316889996
239,1315.4346988825
240,1299.4935850024997
241,1300.7402908837503
242,1307.1704539300006
243,1313.2042209567496
244,1320.3029999522512
245,1341.4373726980002
246,1384.5739520450002
247,1478.2167712832509
248,1588.1371498397502
249,1619.626017583251
250,1634.8194972610008
251,1662.0200447557486
252,1652.3672195462511
253,1646.6828643260005
254,1622.0430738232494
255,1596.33395356775
